Date,Amazon_Close,Amazon_Volume,Apple_Close,Apple_Volume,Netflix_Close,Netflix_Volume,Year
2002-12-31,0.9445000290870668,110740000,0.255892992,200726400,0.7864289879798889,11369400.0,2002
2003-12-31,2.63100004196167,106144000,0.381606996,174451200,3.906429052352905,16801400.0,2003
2004-12-31,2.2144999504089355,95814000,1.149999976,278588800,1.761428952217102,9830800.0,2004
2005-12-30,2.3575000762939453,108022000,2.567500114,624262800,3.865714073181152,3435600.0,2005
2006-12-29,1.9730000495910645,83940000,3.029999971,1076429200,3.694286108016968,6937700.0,2006
2007-12-31,4.631999969482422,115104000,7.074285984,539333200,3.802856922149658,10415300.0,2007
2008-12-31,2.563999891281128,155844000,3.048213959,607541200,4.269999980926514,6200600.0,2008
2009-12-31,6.72599983215332,90460000,7.526071072,352410800,7.869999885559082,5291300.0,2009
2010-12-31,9.0,69038000,11.52000046,193508000,25.100000381469727,21562800.0,2010
2011-12-30,8.654999732971191,85596000,14.46428585,179662000,9.898571014404297,21809200.0,2011
2012-12-31,12.543499946594238,68380000,19.00607109,659492400,13.227143287658691,18078900.0,2012
2013-12-31,19.93950080871582,39930000,20.03642845,223084400,52.5957145690918,10516800.0,2013
2014-12-31,15.517499923706056,40960000,27.59499931,165613600,48.80142974853516,8627500.0,2014
2015-12-31,33.79449844360352,74992000,26.31500053,163649200,114.37999725341795,9273000.0,2015
2016-12-30,37.493499755859375,82788000,28.95499992,122345200,123.8000030517578,4455400.0,2016
2017-12-29,58.4734992980957,53768000,42.30749893,103999600,191.9600067138672,5187600.0,2017
2018-12-31,75.09850311279297,139090000,39.43500137,140014000,267.6600036621094,13508900.0,2018
2019-12-31,92.39199829101562,50130000,73.41249847,100805600,323.57000732421875,3713300.0,2019
2020-12-31,162.84649658203125,59144000,132.6900024,99116600,540.72998046875,5392300.0,2020
2021-12-31,166.7169952392578,47830000,177.5700073,64062300,602.4400024414062,1995900.0,2021
2022-12-30,84.0,62401200,129.9299927,77034200,294.8800048828125,7566900.0,2022
2023-03-17,98.9499969482422,87173200,155.0,98862500,303.5,6912100.0,2023
